gene_id,mean_count,std_count,nonzero_frac
ENSG00000000003.15,5854.915525114156,4347.504150473628,1.0
ENSG00000000005.6,50.426940639269404,88.49156913520201,0.9315068493150684
ENSG00000000419.13,2104.77397260274,1582.219575164896,1.0
ENSG00000000457.14,523.8538812785388,282.9171375984759,1.0
ENSG00000000460.17,367.041095890411,231.63419664043235,1.0
ENSG00000000938.13,275.3401826484018,339.1956845041465,1.0
ENSG00000000971.16,950.8995433789954,1263.0989927160294,1.0
ENSG00000001036.14,2504.235159817352,1160.389326264785,1.0
ENSG00000001084.13,1738.554794520548,1054.4063022899509,1.0
ENSG00000001167.14,1285.851598173516,764.2424755602963,1.0
ENSG00000001460.18,403.56392694063925,290.12326627482287,1.0
ENSG00000001461.17,1622.37899543379,985.7392759279696,1.0
ENSG00000001497.18,2407.72602739726,1800.100019547151,1.0
ENSG00000001561.7,1150.744292237443,712.8267950400519,1.0
ENSG00000001617.12,1549.2762557077626,1205.584738602841,1.0
ENSG00000001626.16,7546.990867579909,6861.1589530054,1.0
ENSG00000001629.10,2026.2853881278538,1264.2538119285764,1.0
ENSG00000001630.17,227.2054794520548,165.10143547942542,1.0
ENSG00000001631.16,229.4794520547945,138.20579053684463,1.0
ENSG00000002016.18,381.7009132420091,263.1617291649844,1.0
ENSG00000002079.14,19.48173515981735,140.09278842306404,0.9337899543378996
ENSG00000002330.14,408.0433789954338,179.15115242087586,1.0
ENSG00000002549.12,4332.075342465753,2978.2450357830467,1.0
ENSG00000002586.20,6915.182648401827,4388.723148857577,1.0
ENSG00000002587.10,506.93150684931504,399.3212489072494,1.0
ENSG00000002726.21,9383.100456621005,10067.875532058182,1.0
ENSG00000002745.13,7.82648401826484,22.929441706935094,0.8082191780821918
ENSG00000002746.15,43.84931506849315,63.27199746448156,0.9885844748858448
ENSG00000002822.15,16.65525114155251,31.45411619250588,0.9931506849315068
ENSG00000002834.18,13016.052511415524,7996.802631045157,1.0
ENSG00000002919.15,933.5502283105022,452.8181989164862,1.0
ENSG00000002933.9,7730.2945205479455,6108.893443227023,1.0
ENSG00000003056.8,2690.228310502283,1473.9478667469061,1.0
ENSG00000003096.14,254.02739726027397,476.99982890591946,0.997716894977169
ENSG00000003137.8,114.6689497716895,170.41398642198044,1.0
ENSG00000003147.19,2494.8607305936075,1752.9609031373373,1.0
ENSG00000003249.15,967.8949771689498,875.5306925069071,1.0
ENSG00000003393.15,809.6164383561644,517.177398229524,1.0
ENSG00000003400.15,1485.4931506849316,1078.5443549443248,1.0
ENSG00000003402.20,3023.9657534246576,1823.1920134252523,1.0
ENSG00000003436.16,618.2648401826484,675.143248260481,1.0
ENSG00000003509.16,503.35616438356163,285.138235528108,1.0
ENSG00000003756.17,1979.0707762557079,1106.8408678078972,1.0
ENSG00000003987.14,27.48173515981735,23.18127518449158,0.9931506849315068
ENSG00000003989.18,216.9840182648402,468.5679211909108,0.9954337899543378
ENSG00000004059.11,4323.8059360730595,2017.5948856091197,1.0
ENSG00000004139.14,215.662100456621,134.32075063938765,1.0
ENSG00000004142.12,5449.502283105023,2956.8067480482573,1.0
ENSG00000004399.13,2741.463470319635,2658.536728216445,1.0
ENSG00000004455.17,5427.066210045662,3001.5023244775584,1.0
ENSG00000004468.13,200.46803652968038,249.9901556529119,0.997716894977169
ENSG00000004478.8,7231.232876712329,9302.852692109587,1.0
ENSG00000004487.17,4471.196347031963,2410.7823122879895,1.0
ENSG00000004534.15,2593.3698630136987,2041.6086907031602,1.0
ENSG00000004660.15,581.6118721461187,411.8628440757013,1.0
ENSG00000004700.16,648.3995433789954,452.01519050614155,1.0
ENSG00000004766.17,971.6004566210046,607.2755851657993,1.0
ENSG00000004776.13,149.1164383561644,311.877473526807,0.9954337899543378
ENSG00000004777.18,320.2808219178082,294.50267763991593,1.0
ENSG00000004779.10,2787.082191780822,1426.119340410104,1.0
ENSG00000004799.8,1012.8310502283105,2066.8581521904775,1.0
ENSG00000004809.14,3.5593607305936072,7.073649270841413,0.7511415525114156
ENSG00000004838.14,15.515981735159817,17.843162907263256,0.9794520547945206
ENSG00000004846.16,6.269406392694064,16.845523075931606,0.6027397260273972
ENSG00000004848.8,23.76255707762557,62.48762451273866,0.8287671232876712
ENSG00000004864.14,1648.9406392694063,964.1205077414573,1.0
ENSG00000004866.22,828.0114155251141,452.38691885875045,1.0
ENSG00000004897.12,1961.9018264840183,1175.3137355904578,1.0
ENSG00000004939.15,1.860730593607306,5.711705545898134,0.5228310502283106
ENSG00000004948.16,6.691780821917808,23.100981702765054,0.7397260273972602
ENSG00000004961.15,1462.9086757990867,863.4296632632094,1.0
ENSG00000004975.12,1147.4748858447488,615.9365981661695,1.0
ENSG00000005001.10,902.3538812785388,899.3657695981914,1.0
ENSG00000005007.13,6346.2100456621,3455.482691770484,1.0
ENSG00000005020.13,1920.6187214611873,1379.4555598058853,1.0
ENSG00000005022.6,23240.41095890411,12828.580154587313,1.0
ENSG00000005059.16,579.5799086757991,409.4762036242709,1.0
ENSG00000005073.6,604.6689497716895,475.67722407644544,1.0
ENSG00000005075.15,1537.810502283105,924.7026874181146,1.0
ENSG00000005100.13,1175.1986301369864,790.1956999431505,1.0
ENSG00000005102.14,78.17579908675799,100.15783269215062,0.997716894977169
ENSG00000005108.16,73.41552511415524,120.4809049354769,0.997716894977169
ENSG00000005156.12,1386.2283105022832,871.0700791362741,1.0
ENSG00000005175.10,1189.8881278538813,713.7670740294549,1.0
ENSG00000005187.12,629.5479452054794,714.1322180990841,1.0
ENSG00000005189.20,217.69406392694063,143.2391784848402,1.0
ENSG00000005194.15,2255.5799086757993,1080.7264112530302,1.0
ENSG00000005206.17,2654.4292237442924,1740.301418766312,1.0
ENSG00000005238.20,902.2077625570777,711.9847883817281,1.0
ENSG00000005243.10,207.94748858447488,217.51905564878095,1.0
ENSG00000005249.13,293.97945205479454,375.5891994139394,1.0
ENSG00000005302.19,1186.1141552511415,674.7068899873667,1.0
ENSG00000005339.15,3700.271689497717,2259.2522439425875,1.0
ENSG00000005379.17,765.4611872146119,1608.7529423073538,1.0
ENSG00000005381.8,12.205479452054794,18.78089411175295,0.9452054794520548
ENSG00000005421.9,24.226027397260275,262.70046556309256,0.728310502283105
ENSG00000005436.14,493.42009132420094,318.49313656553244,1.0
ENSG00000005448.17,399.74657534246575,263.72463652971436,1.0
ENSG00000005469.12,575.7009132420092,465.8516028033009,1.0
ENSG00000005471.19,60.12100456621005,72.27586021416778,0.997716894977169
ENSG00000005483.21,3139.280821917808,2084.114638674437,1.0
ENSG00000005486.17,3052.24200913242,1856.5498157026184,1.0
ENSG00000005513.10,132.61872146118722,275.7975218494826,0.997716894977169
ENSG00000005700.15,2620.5045662100456,1654.5078298448764,1.0
ENSG00000005801.18,1213.9360730593608,849.6116574318179,1.0
ENSG00000005810.18,1961.9223744292237,1599.7861708951864,1.0
ENSG00000005812.11,1496.1666666666667,938.2313182172073,1.0
ENSG00000005844.19,465.9269406392694,613.1994790094316,1.0
ENSG00000005882.12,975.9657534246576,689.6872645278787,1.0
ENSG00000005884.18,5857.45205479452,5434.4874951760285,1.0
ENSG00000005889.16,1022.8333333333334,665.9239530825525,1.0
ENSG00000005893.16,6328.006849315068,3992.5431836336516,1.0
ENSG00000005961.19,19.031963470319635,119.22969344839096,0.9817351598173516
ENSG00000005981.13,23.837899543378995,88.1485314379238,0.8538812785388128
ENSG00000006007.12,3833.888127853881,2087.965916718512,1.0
ENSG00000006015.18,1375.9178082191781,732.7278693545262,1.0
ENSG00000006016.11,37.10730593607306,124.09323243238182,0.9954337899543378
ENSG00000006025.12,1211.62100456621,969.0290371284407,1.0
ENSG00000006042.12,3147.3150684931506,1971.1064210058055,1.0
ENSG00000006047.13,731.4474885844749,691.3428353577862,1.0
ENSG00000006062.17,593.433789954338,354.5922452140257,1.0
ENSG00000006071.15,14.997716894977168,27.21702748583168,0.9223744292237442
ENSG00000006116.4,0.4885844748858447,7.840434263059043,0.09817351598173515
ENSG00000006118.15,1493.472602739726,1360.6336297966886,1.0
ENSG00000006125.18,12027.401826484018,6909.420825899868,1.0
ENSG00000006128.12,98.02054794520548,283.60408804003004,0.908675799086758
ENSG00000006194.10,1375.7990867579908,755.5863928566359,1.0
ENSG00000006210.7,1122.4908675799086,2084.7110218298435,1.0
ENSG00000006282.21,2260.027397260274,1418.1983330386076,1.0
ENSG00000006283.18,10.333333333333334,33.65429759715977,0.9155251141552512
ENSG00000006327.14,2189.942922374429,1796.247639538336,1.0
ENSG00000006377.11,39.486301369863014,92.90840224543268,0.7602739726027398
ENSG00000006432.15,570.9041095890411,415.969815983275,1.0
ENSG00000006451.8,3742.458904109589,2097.967349472204,1.0
ENSG00000006453.14,3607.538812785388,2175.8778405987455,1.0
ENSG00000006459.11,2698.0228310502284,1995.3123977700689,1.0
ENSG00000006468.14,333.5890410958904,389.3495192209871,1.0
ENSG00000006530.18,1071.1118721461187,654.7477329959279,1.0
ENSG00000006534.16,1463.3721461187215,1230.037461374595,1.0
ENSG00000006555.11,1295.6872146118722,1258.3413333013987,1.0
ENSG00000006576.16,705.796803652968,449.0722114151294,1.0
ENSG00000006606.9,37.66438356164384,133.91144025639232,0.9885844748858448
ENSG00000006607.14,2668.4543378995436,1577.3531189161781,1.0
ENSG00000006611.17,6162.767123287671,3802.194994815006,1.0
ENSG00000006625.18,1434.203196347032,1045.2145662538437,1.0
ENSG00000006634.8,870.3675799086758,608.8711876555325,1.0
ENSG00000006638.13,67.68264840182648,56.77719286459302,1.0
ENSG00000006652.15,400.8767123287671,332.64047751668807,1.0
ENSG00000006659.13,2.287671232876712,13.167791770156095,0.3105022831050228
ENSG00000006695.12,903.4383561643835,502.0723047193206,1.0
ENSG00000006704.11,2816.0525114155253,1938.9286030359715,1.0
ENSG00000006712.15,2059.2123287671234,1091.9440531571333,1.0
ENSG00000006715.16,2146.824200913242,1280.3838789561428,1.0
ENSG00000006740.17,700.8995433789954,860.6656138186651,1.0
ENSG00000006744.19,2811.198630136986,1429.5022750965206,1.0
ENSG00000006747.15,765.7260273972603,1317.3319015930995,1.0
ENSG00000006756.16,3083.840182648402,2165.543893404765,1.0
ENSG00000006757.12,879.9246575342465,658.3449370166218,1.0
ENSG00000006788.14,3.6986301369863015,6.666666144216989,0.7465753424657534
ENSG00000006831.10,4763.212328767123,5766.704490850075,1.0
ENSG00000006837.12,12.349315068493151,10.322882847584014,0.9931506849315068
ENSG00000007001.13,2.34703196347032,4.218096337017217,0.6940639269406392
ENSG00000007038.11,135.0593607305936,525.4824185564606,0.9315068493150684
ENSG00000007047.15,908.4086757990867,543.5477698782893,1.0
ENSG00000007062.12,3973.0639269406392,4310.7505036096445,1.0
ENSG00000007080.11,2374.0913242009133,1303.071831324145,1.0
ENSG00000007129.18,39.49315068493151,36.92745933246286,0.997716894977169
ENSG00000007168.14,3438.593607305936,1882.9738369458707,1.0
ENSG00000007171.18,2427.255707762557,4719.833869046403,1.0
ENSG00000007174.18,15.924657534246576,26.179214845526136,0.95662100456621
ENSG00000007202.15,4993.481735159818,2838.9384064134497,1.0
ENSG00000007216.15,378.86986301369865,711.3861892507697,0.95662100456621
ENSG00000007237.19,772.2214611872146,940.8177653230813,1.0
ENSG00000007255.10,1117.3127853881278,722.1304929527474,1.0
ENSG00000007264.15,101.38127853881278,179.26647721940236,1.0
ENSG00000007306.15,13563.965753424658,43463.69043363611,1.0
ENSG00000007312.13,64.05936073059361,121.19861393484533,1.0
ENSG00000007314.12,10.520547945205479,26.653609673429894,0.8698630136986302
ENSG00000007341.19,354.3173515981735,194.12377145934886,1.0
ENSG00000007350.17,48.37671232876713,451.966799884528,0.7077625570776256
ENSG00000007372.24,27.207762557077626,51.394914973590325,0.8767123287671232
ENSG00000007376.8,1522.6666666666667,792.7434814032847,1.0
ENSG00000007384.15,1847.5205479452054,1213.0737792302625,1.0
ENSG00000007392.17,1326.392694063927,842.2843631537513,1.0
ENSG00000007402.12,249.5,717.2941615457657,1.0
ENSG00000007516.14,219.77397260273972,292.08953136404256,1.0
ENSG00000007520.4,1237.8287671232877,547.5474884215411,1.0
ENSG00000007541.17,1257.7876712328766,703.9892591582095,1.0
ENSG00000007545.16,598.0433789954338,349.0297377579125,1.0
ENSG00000007866.22,1758.3744292237443,1049.7076073149785,1.0
ENSG00000007908.16,167.51141552511416,458.99948760066303,0.9954337899543378
ENSG00000007923.16,1602.6438356164383,973.0354713282844,1.0
ENSG00000007933.13,41.358447488584474,43.6774825277746,0.9885844748858448
ENSG00000007944.15,1209.8150684931506,745.0327101392633,1.0
ENSG00000007952.18,7000.251141552511,7109.87136355847,1.0
ENSG00000007968.7,649.7579908675799,486.92759353246987,1.0
ENSG00000008018.9,6912.662100456621,3307.7670456600154,1.0
ENSG00000008056.14,76.34931506849315,97.11767797273491,0.997716894977169
ENSG00000008083.14,1045.4748858447488,675.7877837446115,1.0
ENSG00000008086.13,355.1826484018265,299.6481742779665,1.0
ENSG00000008118.10,13.468036529680365,14.630698151537688,0.9748858447488584
ENSG00000008128.23,76.18721461187215,46.730461559166976,1.0
ENSG00000008130.15,3099.5319634703196,1697.0188216773056,1.0
ENSG00000008196.13,9.502283105022832,189.9184185791332,0.18036529680365296
ENSG00000008226.20,45.817351598173516,52.68296847502639,0.997716894977169
ENSG00000008256.16,1076.6940639269405,805.7100923228285,1.0
ENSG00000008277.14,234.63926940639269,219.92777576984548,1.0
ENSG00000008282.9,5986.175799086758,3203.0400281784187,1.0
ENSG00000008283.16,4328.8721461187215,2881.7399241571015,1.0
ENSG00000008294.21,3026.634703196347,2028.4450637250122,1.0
ENSG00000008300.17,930.7853881278539,915.0579777138536,1.0
ENSG00000008311.15,225.7945205479452,234.8409145877586,1.0
ENSG00000008323.15,2587.3972602739727,2027.4867968468652,1.0
ENSG00000008324.12,636.3881278538813,397.4084700061671,1.0
ENSG00000008382.16,614.3493150684932,357.7760941357023,1.0
ENSG00000008394.13,4526.326484018265,3244.5580428101875,1.0
ENSG00000008405.12,759.0958904109589,433.54505880601306,1.0
ENSG00000008438.5,4.595890410958904,7.412567811651613,0.8493150684931506
ENSG00000008441.18,4160.559360730594,2715.289711062838,1.0
ENSG00000008513.16,1227.5319634703196,1733.8852016695555,1.0
ENSG00000008516.17,103.97945205479452,138.37418853524775,1.0
ENSG00000008517.18,6435.057077625571,4656.928008354386,1.0
ENSG00000008710.20,1703.7511415525114,1264.8873140848516,1.0
ENSG00000008735.14,164.41095890410958,311.0276464545115,1.0
ENSG00000008838.20,4393.009132420091,5865.792518253035,1.0
ENSG00000008853.17,464.2990867579909,344.4873079056593,1.0
ENSG00000008869.12,1204.9748858447488,758.4890869485266,1.0
ENSG00000008952.17,4112.8607305936075,2312.732415931257,1.0
ENSG00000008988.11,31602.842465753423,22542.562143446434,1.0
ENSG00000009307.16,17736.34931506849,10033.919196551127,1.0
ENSG00000009335.18,4621.643835616438,2491.4067885233303,1.0
ENSG00000009413.16,699.2922374429223,537.8997903185415,1.0
ENSG00000009694.13,15.449771689497718,63.226381159665344,0.9018264840182648
ENSG00000009709.12,23.82191780821918,131.34497095412763,0.3401826484018265
ENSG00000009724.17,33.52054794520548,33.42792769932278,0.997716894977169
ENSG00000009765.15,1558.5068493150684,1408.1780798356572,1.0
ENSG00000009780.16,437.93150684931504,228.66493401596387,1.0
ENSG00000009790.15,136.48173515981736,181.74519690839344,1.0
ENSG00000009830.12,652.7511415525114,399.94505307509803,1.0
ENSG00000009844.16,2030.5639269406392,1036.3337239698299,1.0
ENSG00000009950.16,1623.8561643835617,2056.50198104166,1.0
ENSG00000009954.11,4627.942922374429,2978.5480419799,1.0
ENSG00000010017.13,1224.5182648401826,573.4175306226325,1.0
ENSG00000010030.14,549.2351598173516,512.8072395544432,1.0
ENSG00000010072.16,436.1826484018265,243.85354698174598,1.0
ENSG00000010165.20,2022.37899543379,1049.05650438745,1.0
