,auroc,auroc_ci_lo,auroc_ci_hi,auprc,brier,ece,optimal_threshold,optimal_sensitivity,optimal_specificity,sens_at_alert_thresh,spec_at_alert_thresh,ppv_at_alert_thresh,npv_at_alert_thresh,number_needed_to_screen,net_benefit,tp,fp,fn,tn
Logistic Regression,0.7126934984520124,0.6391749614499584,0.7872789922508909,0.2745324775207784,0.20673,0.26467,0.4993,0.68,0.6873,0.22,0.8947,0.2444,0.8811,4.09,-0.2049,11.0,34.0,39.0,289.0
Random Forest,0.6808049535603715,0.6056652070536755,0.757047707188918,0.2490547683644101,0.117,0.061,0.1681,0.8,0.5077,0.0,1.0,0.0,0.866,100000000.0,0.0,0.0,0.0,50.0,323.0
ODE Physics Only,0.49869969040247675,0.404067218272041,0.5902848024068954,0.15746389885528334,0.25116,0.36419,0.5061,0.56,0.5418,0.0,1.0,0.0,0.866,100000000.0,0.0,0.0,0.0,50.0,323.0
MPS Model (Phase 4),0.515108359133127,0.4197236003490031,0.6050970869847451,0.1490602779488657,0.32259,0.45376,0.6012,0.28,0.8452,0.0,1.0,0.0,0.866,100000000.0,0.0,0.0,0.0,50.0,323.0
